duplicate_type	record_ids	lemma	details
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-76ce1005b0|LX-ad8d500584	צוֹרֵר	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטֵנִים	cells PRS.MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטֵנָה	cells PRS.FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטֵנוֹת	cells PRS.FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטַן	cells IMP.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטַנָּה	cells IMP.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטָנְתֶּם	cells PST.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קְטָנְתֶּן	cells PST.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קִטְנִי	cells IMP.2FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קִטְנוּ	cells IMP.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קָטְנָה	cells PST.3FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קָטְנוּ	cells PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קָטֵן	cells PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-35856ad369|LX-a646782180	קָטֹן	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-730464a7ea|LX-d30ea2a346	קוֹסֵס	cells PRS.MSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-9f68f0332b|LX-c5e586df34	רָצָה	cells PRS.FSG|PST.3FSG|PST.3MSG
